Ticker,Group,Sector,DT Score,Grade,# Confluences,Last Price,Current Price,Prev Close,Gap Type,Gap%,PM Low,PM High,PM Last,PM Vol,Session Vol,RVOL,Vol vs 20D,VWAP,Price vs VWAP%,Intraday Trend,Intraday Range%,Today High,Today Low,ORB High,ORB Low,Prev-Day High,Prev-Day Low,vs PDH%,vs PDL%,9EMA 1m,20EMA 1m,Above 9EMA 1m,Above 20EMA 1m,Daily Trend,20MA,50MA,9EMA Daily,ATR14 $,ATR14%,20D High,20D Low,52W High,52W Low,Dist 52W High%,Confluence 1,Confluence 2,Confluence 3,Confluence 4,Confluence 5
SPY,Index,ETF,49.000,C,5.000,736.530,736.610,733.240,Gap Up,0.740,733.240,739.920,738.660,0.000,13859898,1.430,1.270,734.570,0.270,Bull,1.340,739.370,729.600,739.370,733.320,739.950,730.840,-0.460,0.780,736.220,735.810,TRUE,TRUE,Pullback,744.990,733.820,739.820,12.170,1.650,760.400,722.590,760.400,605.540,-3.100,↑ Small Gap Up +0.7%,〰 Hugging VWAP (+0.3%) — inflection zone,📐 Inside ORB range 0.8% ($733.32–$739.37),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned,↘ Healthy Pullback — dip-buy zone
QQQ,Index,ETF,93.000,A,8.000,714.770,714.800,710.620,Gap Up,2.150,710.620,728.420,725.920,0.000,19973782,2.490,2.180,714.810,-0.010,Pulling Back,3.040,726.760,705.300,726.760,714.770,719.930,704.450,-0.720,1.460,714.070,713.470,TRUE,TRUE,Pullback,726.140,701.380,721.510,21.100,2.950,748.650,686.370,748.650,539.380,-4.500,⚡ RVOL 2.5x — strong accumulation,↑ Gap Up +2.1%,〰 Hugging VWAP (-0.0%) — inflection zone,📐 Inside ORB range 1.7% ($714.77–$726.76),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned
IWM,Index,ETF,84.000,A,7.000,300.820,300.820,296.690,Gap Up,0.680,296.690,299.150,298.700,0.000,6626106,1.320,1.250,299.490,0.440,Bull,1.410,301.090,296.900,300.970,298.900,299.690,294.690,0.380,2.080,300.650,300.380,TRUE,TRUE,Uptrend,291.110,284.040,295.140,6.730,2.240,299.690,277.620,301.090,211.890,-0.100,↑ Small Gap Up +0.7%,〰 Hugging VWAP (+0.4%) — inflection zone,📐 Inside ORB range 0.7% ($298.90–$300.97),📍 Testing Prev-Day High $299.69 (+0.4%),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned
SPX,Index,INDEX,28.000,D,4.000,7392,7392,7358,Flat Open,0.460,,,,0.000,726589784,0.730,0.680,7373,0.270,Bull,1.310,7419,7324,7419,7361,7428,7337,-0.480,0.760,7390,7386,TRUE,TRUE,Pullback,7467,7358,7421,123.480,1.670,7621,7238,7621,6080,-3.000,〰 Hugging VWAP (+0.3%) — inflection zone,📐 Inside ORB range 0.8% ($7361.19–$7419.08),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned,↘ Healthy Pullback — dip-buy zone,
DRAM,Index,ETF,157.000,A+,8.000,75.960,75.980,69.930,Gap Up,13.140,69.930,79.830,79.120,0.000,53464326,8.600,6.170,76.850,-1.160,Pulling Back,8.300,79.600,73.500,79.600,77.120,71.790,67.130,5.810,13.150,75.630,75.460,TRUE,TRUE,Uptrend,67.210,54.110,71.370,6.760,8.890,81.340,55.380,81.340,26.140,-6.600,🔥 RVOL 8.6x — extreme volume surge,🚀 Gap Up +13.1% — high catalyst,🎯 ORB Breakdown below $77.12,✅ Above PDH $71.79 (+5.8%),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned
NVDA,Index,Technology,110.000,A+,8.000,195.160,195.150,199.000,Gap Up,0.520,199.000,202.190,200.030,0.000,48267794,1.660,1.590,195.910,-0.380,Bear,4.510,200.790,192.130,200.790,195.370,201.670,196.580,-3.230,-0.720,194.960,194.820,TRUE,TRUE,Downtrend,208.820,210.200,203.270,7.430,3.810,232.280,196.580,236.540,149.260,-17.500,📊 RVOL 1.7x — above-avg volume,↑ Small Gap Up +0.5%,🎯 ORB Breakdown below $195.37,📍 Testing Prev-Day Low $196.58 (-0.7%),📈 Price > 9EMA & 20EMA (1-min) — momentum aligned
AAPL,Index,Technology,93.000,A,9.000,280.030,280.040,293.080,Gap Down,-1.890,287.300,293.950,287.550,0.000,24243165,2.710,2.530,280.780,-0.270,Bear,4.090,288.800,277.460,288.800,277.880,299.700,292.940,-6.560,-4.410,279.610,279.420,TRUE,TRUE,Pullback,299.970,291.250,292.990,8.690,3.100,317.400,287.380,317.400,199.260,-11.800,⚡ RVOL 2.7x — strong accumulation,↓ Small Gap Down -1.9%,〰 Hugging VWAP (-0.3%) — inflection zone,📐 Inside ORB range 3.9% ($277.88–$288.80),🔻 Below PDL $292.94 (-4.4%)
MSFT,Index,Technology,91.000,A,7.000,357.730,357.730,365.460,Gap Down,-0.750,362.520,366.530,362.710,0.000,11838778,1.770,1.600,359.460,-0.480,Bear,2.140,364.220,356.600,364.220,357.770,378.880,364.780,-5.580,-1.930,358.420,358.650,FALSE,FALSE,Downtrend,403.050,411.840,377.100,11.430,3.190,466.320,364.780,555.450,356.280,-35.600,📊 RVOL 1.8x — above-avg volume,↓ Small Gap Down -0.8%,🎯 ORB Breakdown below $357.77,🔻 Below PDL $364.78 (-1.9%),↓ Price < 9EMA & 20EMA (1-min) — short bias
GOOGL,Index,Communication Services,118.000,A+,7.000,342.220,342.240,345.290,Gap Down,-2.550,336.190,345.290,336.500,0.000,11518718,2.090,1.800,338.600,1.070,Recovering,1.990,342.510,335.840,340.750,335.840,353.480,341.930,-3.190,0.080,341.590,340.950,TRUE,TRUE,Downtrend,363.380,369.240,353.990,12.100,3.530,393.880,340.200,408.610,167.550,-16.200,⚡ RVOL 2.1x — strong accumulation,↓ Gap Down -2.5%,✅ Above VWAP +1.1% (bullish bias),🎯 ORB Breakout above $340.75,📈 Price > 9EMA & 20EMA (1-min) — momentum aligned
AMZN,Index,Consumer Cyclical,90.000,A,8.000,229.300,229.300,234.270,Gap Down,-0.940,231.450,234.600,232.070,0.000,17603372,2.120,2.000,228.260,0.460,Recovering,2.740,232.260,226.060,232.260,226.060,242.420,232.950,-5.410,-1.570,229.210,228.970,TRUE,TRUE,Downtrend,246.210,256.490,237.270,8.420,3.670,274.750,232.000,278.560,196.000,-17.700,⚡ RVOL 2.1x — strong accumulation,↓ Small Gap Down -0.9%,〰 Hugging VWAP (+0.5%) — inflection zone,📐 Inside ORB range 2.7% ($226.06–$232.26),🔻 Below PDL $232.95 (-1.6%)
